,NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value
5236,373737,1665390,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,248.0,CPI,Scale,100.0
5237,373737,1665390,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,3 - NI,Scaled Score,Scale,222.0,CPI,Scale,50.0
5238,373737,1665390,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,222.0,CPI,Scale,50.0
5239,373737,1659063,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,272.0,CPI,Scale,100.0
5240,373737,1659063,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,270.0,CPI,Scale,100.0
5241,373737,1659063,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,5 - A,Scaled Score,Scale,266.0,CPI,Scale,100.0
5242,373737,1720124,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,260.0,CPI,Scale,100.0
5243,373737,1720124,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,4 - P,Scaled Score,Scale,256.0,CPI,Scale,100.0
5244,373737,1720124,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,258.0,CPI,Scale,100.0
5245,373737,1718718,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,260.0,CPI,Scale,100.0
5246,373737,1718718,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,4 - P,Scaled Score,Scale,244.0,CPI,Scale,100.0
5247,373737,1718718,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,244.0,CPI,Scale,100.0
5248,373737,1911301,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,258.0,CPI,Scale,100.0
5249,373737,1911301,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,1 - F,Scaled Score,Scale,218.0,CPI,Scale,25.0
5250,373737,1911301,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,228.0,CPI,Scale,50.0
5251,373737,1511899,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,268.0,CPI,Scale,100.0
5252,373737,1511899,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,3 - NI,Scaled Score,Scale,224.0,CPI,Scale,50.0
5253,373737,1511899,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,226.0,CPI,Scale,50.0
5254,373737,1745671,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,276.0,CPI,Scale,100.0
5255,373737,1745671,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,260.0,CPI,Scale,100.0
5256,373737,1745671,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,258.0,CPI,Scale,100.0
5257,373737,1474057,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,260.0,CPI,Scale,100.0
5258,373737,1474057,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,4 - P,Scaled Score,Scale,256.0,CPI,Scale,100.0
5259,373737,1474057,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,248.0,CPI,Scale,100.0
5260,373737,1805937,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,252.0,CPI,Scale,100.0
